Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views (Excluding offsite video views),Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
,https://www.linkedin.com/feed/update/urn:li:activity:6993544476761755648,Organic,,Rim Silini,11/02/2022,,,All followers,125,,,8,0.064000003,0,0,0,,0.064000003,
"Who else will be at the Web Summit today? 
#Researchpreneurs will be at #websumit, together with our sister startup QMindness, 1000+ investors, 2500+ media, 300+ partners, and 70000+ guests 🙌

 ➡️ If you’re around you can meet us at A751 Pav.4, Wednesday, Nov. 2nd

Can't make it to the booth? 
Let's meet online 😎👉 https://lnkd.in/eY3bUcFG

Alternatively, you can contact us directly.
💻Website: www.researchpreneurs.com
📩Email: info@researchpreneurs.com

www.researchpreneurs.com 🌐 Increasing startup #investmentopportunities through research-driven due diligence. 
Join our waitlist!


#websummit2022 #websummit #researchpreneurs #startup ",https://www.linkedin.com/feed/update/urn:li:activity:6993543968303038464,Organic,,Rim Silini,11/02/2022,,,All followers,148,,,14,0.094594598,5,0,2,,0.121621624,
"Are you a research-driven startup with ground-breaking ideas that you want to bring to the market? 
Or perhaps you're a researcher looking for opportunities outside academia.
 
🔎 #Researchpreneurs is an AI-powered accelerator that increases startup investment opportunities through research-driven due diligence💹
 
➡️ So, why choose us? 
We create simultaneous #opportunities and benefits for both groups:
 
📈For #startups 
• Full-cycle research support for research-driven startups, from onboarding researchers to securing further #funding 
 
• Saving time and money during product development life cycle by onboarding highly-skilled #experts.
 
• Saving time to find an expert with relevant in-depth #knowledge and expertise.
 
• Saving time and money while creating an #inclusive
and #supportive work culture is now possible with an interactive ecosystem that provides mental support for teams to overcome communication and business process challenges.
 
• Improve startup credibility for stakeholders, including paid clients and the general public.
 
 
🔬For #researchers
• Improve profile for future job opportunities by gaining experience outside of academia, which is valuable for pursuing research #leadership roles as well as transitioning to an industrial employment.
 
• A wide range of matching options, ranging from working as an external consultant to becoming a part-time/full-time startup member, or eventually joining a startup as co-founder.
 
• #freelancing opportunities to have additional funds, considering that researchers are highly underpaid across the globe.
 
• Experiencing a sense of accomplishment and satisfaction from contributing to projects towards higher and immediate positive social impact.
 
• Developing and boosting an entrepreneurial #mindset in the event that a researcher has a game-changing research project/idea that
they wish to bring to market.
 
⏩Did you find yourself in one of the 2 groups?
If this is the case, please visit our website and join our waitlist. 
You can also reach us directly.⬇️
 
📲Instagram: @researchpreneurs
💻Website: www.researchpreneurs.com 
📩Email: info@researchpreneurs.com
 
 
 
#business #ai #startup #development #research #visibility4researchers #science #technology #innovation #entrepreneurship #collaboration #investmentopportunity
",https://www.linkedin.com/feed/update/urn:li:activity:6990966137953951745,Organic,,Rim Silini,10/26/2022,,,All followers,114,,,33,0.289473683,4,0,0,,0.315789461,
"We’re so excited to announce that RESEARCHPRENEURS will be participating at “Lisbon’s tech fest” this November 1-4 as part of the Web Summit startup programme! 

🎉
When? November 2nd
Where? Stand A751, Pavilion four 

Come by our booth, also Alevtina is available on another days of #websummit2022 
🎉

ONE TICKET left, is it yours?
🎟🎈We have one ticket left and it can be yours! Also, we have an extra affordable accommodation that can be transferred to you at no extra cost by Oct 24th. If you’re interested, get in contact with Alevtina! 

#websummit  #researchanddevelopment #researchpreneuers #networking #visibility #startupsupport ",https://www.linkedin.com/feed/update/urn:li:activity:6989583497275310080,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",10/22/2022,,,All followers,108,,,7,0.064814813,4,0,2,,0.101851851,
"#startupmentor from Technische Universit��t Berlin, we're looking for you 👋 ",https://www.linkedin.com/feed/update/urn:li:activity:6987032966296182784,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",10/15/2022,,,All followers,95,,,3,0.031578947,0,0,0,,0.031578947,
,https://www.linkedin.com/feed/update/urn:li:activity:6985990528693604352,Organic,,Rim Silini,10/12/2022,,,All followers,149,,,20,0.134228185,0,0,0,,0.134228185,
"Why do we encourage mutually beneficial collaborations between researchers and startups? 🎯

As our founder Alevtina Evgrafova, PhD, ACC ICF says, the potential and outcomes of collaboration between researchers and startups are undervalued. 

By collaborating with researchers, startups benefit from a fresh outlook on existing product and feature development, as well as researcher-based product description or due diligence can be arranged. 📈 How does it sound?

What is the ""catch"" for researchers? Having experience outside academia is extremely beneficial for either maintaining leading roles in research or as a step towards a possible transfer into R&D industry employment or even more ambitious goals like starting a researcher-owned business. Exciting, isn't it?

✅ #researchpreneurs ensures that researchers and startups connect and collaborate efficiently towards impact innovations. 
✅ While QMindness ensures a smooth onboarding process and productive teamwork through professional and tailored coaching and training.
.
.
If you are a startup seeking researchers to collaborate with or a researcher looking for opportunities outside academia, contact us and we will help you find a suitable partner to work with whom you can bring your business or research ideas to life: 

📲@researchpreneurs 
💻www.researchpreneurs.com
📧 info@researchpreneurs.com
.
.
If you are interested in professional coaching, please visit our sister company @QMindness

📲@qmindness_official
📩 info@qmindness.com
💻 https://qmindness.com/

#startuplife #entrepreneurlife #researcher #academia #researchanddevelopment #scientist #smallbusiness #startuppitch #networking 
",https://www.linkedin.com/feed/update/urn:li:activity:6985989518357114880,Organic,,Rim Silini,10/12/2022,,,All followers,175,92,,4,0.022857143,5,1,1,,0.045714285,Video
"We're always looking for #funding #opportunities and #competitions for researchers and startups. And we'll share our favorite ones  ⬇️


#scientists, this post is for you!
check out this awesome opportunity for #female scientists.


➡️ Likewise, reach us and we will assist you with finding a suitable candidate or startup to work with 🚀 

💻 Wbsite: www.researchpreneurs.com 
📱IG: @researchpreneurs
📧 Email: info@researchpreneurs.com 


#funding4researchers 
Female Science Talents – Intensive Track:
All PhD-students at the final stage of their research and postdocs or comparable qualification levels from all disciplines at university and non-university research institutions worldwide are eligible to participate. We are looking for exceptional talents who conduct inspiring research in their field.


 #science #opportunity #research #students #university #phd #researchaward #visibility4researchers
#postdoc #scientificresearch 
",https://www.linkedin.com/feed/update/urn:li:activity:6984841550371459072,Organic,,Rim Silini,10/09/2022,,,All followers,206,,,11,0.053398058,4,0,0,,0.067961164,
"Yesterday we pitched at #innovation stage during the #impactfestival22. 

The festival represents Europe's largest event and platform for sustainable innovation, bringing together #greentech startups and #impactstartups to accelerate #sustainable transformations.

Our team took part in an innovative and immersive experience. QMindness as an #edtech and RESEARCHPRENEURS as #SaaS. 

We would like to thank festival participants for their interest in our projects, making plans to have follow-ups and cooperation 👏 

We truly look forward to #createimpact together!

IMPACT FESTIVAL 
#innovation #experience #startups  #europe #event #team #pitch #networking #smallbusiness #entrepreneur #researchers ",https://www.linkedin.com/feed/update/urn:li:activity:6984000681821032448,Organic,,Rim Silini,10/07/2022,,,All followers,371,,,90,0.242587596,16,0,4,,0.283018857,
"Attending networking events is where you find how your company and services could contribute to the development of other business, leading to win-win relationships 🤝


We provide research as a service to startups by enabling researchers to contribute to startups to fill the knowledge gap and foster #innovation 


#researchers and #academics if you want to discuss your potential involvement, visit our website or contact us ⬇️

#startups you can leave your request with requirements for whom you are looking for simply by messaging us or filling the survey form on the website 


🌐 Website: www.researchpreneurs.com 
📧 Email: info@researchpreneurs.com 
📱 IG: @researchpreneurs 


IMPACT FESTIVAL 
#networking #startups #startup #enterpreneur #researchers #academic #science #collaboration #networkingevent 
",https://www.linkedin.com/feed/update/urn:li:activity:6983995037634236416,Organic,,Rim Silini,10/07/2022,,,All followers,111,22,,6,0.054054055,3,0,0,,0.072072074,Video
"Our #team doing #hardwork at #impactfestival2022 

Follow us for more updates and #opportunities 

If you're ready to bring your #ideas to life by either bringing #researchers to your startup or joining startup if you’re a researcher, visit our website & contact us ⬇️

🌐 Website: www.researchpreneurs.com 
📧 Email: info@researchpreneurs.com 
📱 IG: @researchpreneurs

#startup #startupbusiness #smallbusiness #businessowner 
#innovation #researchers #academics 
#entrepreneurship #successmindset 
#businessgrowth #collaboration ",https://www.linkedin.com/feed/update/urn:li:activity:6983776597438861312,Organic,,Rim Silini,10/06/2022,,,All followers,115,29,,3,0.026086956,5,0,0,,0.052173913,Video
"Here we go!! 🥳

Make a positive impact on the world you say?

We hear you loud and clear! 😎

Today was another good step in this direction, and there is a lot more to come! 

Follow us and stay tuned. ⬇️

📧IG: @researchpreneurs
📧Linkedin: https://lnkd.in/gARVftRj

📧Wbsite: www.researchpreneurs.com
📧Email:info@researchpreneurs.com 

#successmindset 
#startups #startuplife #entrepreneurship #researchers #scientists #businessgrowth 
#successjourney #innovation ",https://www.linkedin.com/feed/update/urn:li:activity:6983599642101899264,Organic,,Rim Silini,10/06/2022,,,All followers,147,37,,3,0.020408163,4,0,0,,0.040816326,Video
"We're attending the #impactfestival2022 !!

It's a great chance to hear more about our research-inspired entrepreneurship platform, and how it can help foster #innovation ➕️  increase investment opportunities through research-driven #projects, #knowledge, and #expertise 

We are so excited to meet you in person #researchpreneurs






 #opportunities #investment #entrepreneurship #research #startups #impactfestival2022 #innovation #meetup #festival #openscience #researchers #entrepreneur #researchanddevelopment  #germany #impact  #impactinvesting #impactpositif #meetus #professionals #academics #researchers #investors",https://www.linkedin.com/feed/update/urn:li:activity:6983439062690914304,Organic,,Rim Silini,10/05/2022,,,All followers,106,,,3,0.028301887,4,0,0,,0.056603774,
"Did anyone say #impactfestival2022?

It's finally here!

Looking forward to meeting you there and sharing more details about our #research -inspired #entrepreneurship #platform.

See you soon !!






 #opportunities #investment #entrepreneurship #research #startups #impactfestival2022 #innovation #meetup #festival #openscience #researchers #entrepreneur #researchanddevelopment  #germany #impact  #impactinvesting #impactpositif #meetus #professionals #academics #researchers #investors 
",https://www.linkedin.com/feed/update/urn:li:activity:6983438780116467713,Organic,,Rim Silini,10/05/2022,,,All followers,119,22,,0,0,3,0,0,,0.025210084,Video
"Do you have a ground-breaking research project that you want to bring to market?

 ➡️ Researchpreneurs is a unique online exchange platform that connects academics and R&D specialists with research-based startups to fill the knowledge gap, with the goal of inspiring and empowering science-driven innovators.

We want to help you turn your ground-breaking research project into a reality! 

Our team of experts can guide you on the best collaborative approaches and help you find the right partner for your project. 

➡️ Join our Instagram and LinkedIn community for research-inspired entrepreneurial tips, news & opportunities, and don't forget to visit our website!


📧 Instagram: @researchpreneurs 
📧 Website: www.researchpreneurs.com
📧 Email: info@researchpreneurs.com 



#startupbusiness #investmentopportunity #researchfunding #researchers #openscience #fundingopportunity #project #opportunities #science #research #startups ",https://www.linkedin.com/feed/update/urn:li:activity:6983083914588299265,Organic,,Rim Silini,10/04/2022,,,All followers,146,,,9,0.061643835,8,0,1,,0.10958904,
"Time to time, we will post funding opportunities and competitions for both #researchers and #startups. Hence, both groups can notice potential collaborators, either highly skilled experts 😎 or dream startups 🚀, among previous winners or current applicants. 

🧩 Likewise, reach us and we will assist you with finding a suitable candidate or a startup to work in. Here you can leave your request: https://lnkd.in/eWSuCrBR
.
.
#Funding4researchers
Stiftung Industrieforschung and the Berlin universities seek young researchers (m/f/d) with innovative and practice-oriented ideas and approaches to solutions that emerge from their innovative basic research. This year will be all about the future of materials and material production.
Young scientists from all disciplines can apply: Doctoral students, post-docs and research assistants, junior professors and senior physicians. Participation is possible as an individual or as a team.
The researchers of the six best submissions will be invited to pitch their application idea in the competition final in front of an audience and a jury of business experts. The prize is up to €10,000 per idea.

https://lnkd.in/edsEhVG5

#opportunities #funding #researchers #academics #fundingopportunity #startups ",https://www.linkedin.com/feed/update/urn:li:activity:6982419152158220288,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",10/02/2022,,,All followers,182,,,6,0.032967035,4,0,2,,0.060439561,
"Welcome to Benjamin, who is our Lead Product Designer & Developer. Ben is looking forward to your active survey participation! 😉

Survey for #researchers and #entrepreneurs who look for new opportunities: https://lnkd.in/eD8C7Ayk 

#uxdesign #prototyping #startup # #designthinking #RESEARCHPRENEUERS #testing 
Thank you for all that you've done for us! #workmilestone",https://www.linkedin.com/feed/update/urn:li:activity:6981178313385897984,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",09/29/2022,,,All followers,109,,,5,0.04587156,0,0,1,,0.055045873,
"We would like to welcome Rim, our SMM and Marketing intern 🎉
We are very happy to have such a motivated, creative and highly skilled specialist! 

💜

#marketing #intern #teambuilding #RESEARCHPRENEUERS Congratulations on the #newposition!",https://www.linkedin.com/feed/update/urn:li:activity:6980927092716617728,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",09/28/2022,,,All followers,146,,,4,0.02739726,4,0,3,,0.075342469,
,https://www.linkedin.com/feed/update/urn:li:activity:6980277737248673792,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",09/26/2022,,,All followers,118,,,8,0.06779661,0,0,0,,0.06779661,
"Please take part in our 3-5 minute survey - We need your inputs 🧩
https://lnkd.in/eSSnjwns Let's enable the co-creation of innovations towards SDG 1-17 goals together!

Target participants of this survey: 1. Researchers, 2. Startups, and 3. Investors. 
.
.
🤝 We match researchers and science-driven startups based on their expertises, experience, and needs. We believe that our collaborative and support platform helps: 

1. Startups: to increasing investment opportunities through research-driven due diligence and product development

2. Researchers: to gain experience in transdisciplinary impact projects outside academia and enabling entrepreneurial researcher mindset

3. For Investors: to mitigate startup risks and increase ROI 
science-driven startups and researchers to co-create innovations by finding collaborations outside their networks and having guidance on suitable collaborative approaches.

#research #researchers #science #academics #academicjobs  #startup #startupsupport #startupsuccess #investors  #collaboration #opportunities #researchpreneuers",https://www.linkedin.com/feed/update/urn:li:activity:6979077801735815168,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",09/23/2022,,,All followers,160,,,6,0.037500001,9,0,2,,0.100000001,
"Hello from RESEARCHPRENEUERS! 

Today Alevtina, CEO and Co-Founder, submitted our video intro and pitch deck for the pitch competition and representation at the Web Summit 2022! 🎉  Will you be attending too?

Since now on, our presence on LinkedIn is officially onwards! 🎉  

Follow us if you would like to stay updated on increasing investment opportunities through research-driven due diligence for your company!

Curious about our service? Follow us and contact anytime!


P.S. We're currently running a few updated on the website and will be welcoming you there soon! 

#startups #research #innovation #opportunities #researchpreneuers",https://www.linkedin.com/feed/update/urn:li:activity:6978335296614494208,Organic,,"Alevtina Evgrafova, PhD, ACC ICF",09/21/2022,,,All followers,130,,,4,0.030769231,3,0,2,,0.069230773,
